Detailed Work Activity (DWA),Rank
Analyze laboratory findings.,6
Research microbiological or chemical processes or structures.,7
Analyze laboratory specimens to detect abnormalities or other problems.,8
Supervise laboratory work.,9
Collect biological specimens.,10
Business,
Establish business management methods.,1
Develop organizational policies or programs.,2
Establish organizational guidelines or policies.,3
Analyze data to inform personnel decisions.,4
Communicate organizational information to customers or other stakeholders.,5
Represent the organization in external relations.,6
"Communicate with clients about products, procedures, and policies.",7
Confer with managers to make operational decisions.,8
Establish operational policies.,9
Establish interpersonal business relationships to facilitate work activities.,10
Chemistry,
Prepare compounds or solutions for products or testing.,1
Measure physical or chemical properties of materials or objects.,2
Prepare biological samples for testing or analysis.,3
Prepare biological specimens for laboratory analysis.,4
Research engineering aspects of biological or chemical processes.,5
"Test materials, solutions, or samples.",6
Collect samples of materials or products for testing.,7
Prepare chemicals for work application.,8
Research microbiological or chemical processes or structures.,9
Supervise laboratory work.,10
Chinese,
Attend events to develop professional knowledge.,1
Present business-related information to audiences.,2
Teach humanities courses at the college level.,3
Maintain current knowledge related to work activities.,4
Teach online courses.,5
Assist other educational professionals with projects or research.,6
Accompany individuals or groups to activities.,7
Record information from meetings or other formal proceedings.,8
Supervise trainees.,9
Communicate with others to coordinate material handling or movement.,10
Classics,
Teach humanities courses at the college level.,1
Inspect sets or exhibits.,2
Manage documentation to ensure organization or accuracy.,3
Maintain current knowledge related to work activities.,4
Record information from meetings or other formal proceedings.,5
Coordinate student extracurricular activities.,6
Maintain student records.,7
Compile specialized bibliographies or lists of materials.,8
Teach online courses.,9
Document operational procedures.,10
Computer Science,
Develop specifications for computer network operation.,1
Design software applications.,2
Develop models of information or communications systems.,3
Design integrated computer systems.,4
"Analyze security of systems, network, or data.",5
Develop procedures for data entry or processing.,6
Design computer modeling or simulation programs.,7
Analyze design requirements for computer or electronics systems.,8
Implement security measures for computer or information systems.,9
Compile technical information or documentation.,10
Cosmetology,
Apply solutions to hair for therapeutic or cosmetic purposes.,1
"Apply cleansing or conditioning agents to client hair, scalp, or skin.",2
Assess skin or hair conditions.,3
Maintain professional knowledge or certifications.,4
Groom wigs or hairpieces.,5
"Communicate with clients about products, procedures, and policies.",6
"Establish standards for products, processes, or procedures.",7
Trim client hair.,8
Evaluate personnel practices to ensure adherence to regulations.,9
Establish work standards.,10
Criminal Justice,
Interview people to gather information about criminal activities.,1
Research relevant legal materials to aid decision making.,2
Investigate crimes committed within organizations.,3
Analyze forensic evidence to solve crimes.,4
Process forensic or legal evidence in accordance with procedures.,5
Examine records or other types of data to investigate criminal activities.,6
Apprehend criminal suspects.,7
Identify implications for cases from legal precedents or other legal information.,8
"Interview witnesses, suspects, or claimants.",9
Examine crime scenes to obtain evidence.,10
Culinary Arts,
"Estimate supplies, ingredients, or staff requirements for food preparation activities.",1
Evaluate quality of food ingredients or prepared foods.,2
Prepare foods for cooking or serving.,3
Present food or beverage information or menus to customers.,4
Determine food production methods.,5
"Clean food preparation areas, facilities, or equipment.",6
Communicate dining or order details to kitchen personnel.,7
Inspect food products.,8
Coordinate activities of food service staff.,9
Create new recipes or food presentations.,10
Dance,
Choreograph dances.,1
Perform dances.,2
Train others on performance techniques.,3
Communicate with others to coordinate material handling or movement.,4
Coordinate training activities.,5
Evaluate performance of educational staff.,6
Evaluate program effectiveness.,7
Coordinate musical rehearsals or performances.,8
"Create musical compositions, arrangements or scores.",9
Schedule activities or facility use.,10
Dentistry,
Diagnose dental conditions.,1
Treat dental problems or diseases.,2
"Examine mouth, teeth, gums, or related facial structures.",3
Adjust dental devices or appliances to ensure fit.,4
Inspect medical or dental assistive devices.,5
Examine medical instruments or equipment to ensure proper operation.,6
Confer with other professionals to plan patient care.,7
Assist patients with hygiene or daily living activities.,8
Supervise patient care personnel.,9
Teach medical procedures or medical equipment use to patients.,10
Earth Sciences,
Analyze geological samples.,1
Analyze geological or geographical data.,2
Collect geographical or geological field data.,3
Collect geological samples.,4
Survey land or bodies of water to measure or determine features.,5
Research hydrologic features or processes.,6
Analyze environmental data.,7
Inspect condition of natural environments.,8
Locate natural resources using geospatial or other environmental data.,9
Collect environmental data or samples.,10
Economics,
Apply mathematical models of financial or business conditions.,1
Analyze market conditions or trends.,2
Determine pricing or monetary policies.,3
Develop financial analysis methods.,4
Analyze financial information.,5
Analyze market research data.,6
Analyze business or financial data.,7
Analyze industry trends.,8
Implement financial decisions.,9
"Evaluate potential of products, technologies, or resources.",10
Education,
Evaluate performance of educational staff.,1
Assist other educational professionals with projects or research.,2
Discuss child development and behavior with parents or guardians.,3
Evaluate program effectiveness.,4
Coordinate student extracurricular activities.,5
Establish organizational guidelines or policies.,6
Conduct employee training programs.,7
Supervise school or student activities.,8
Establish work standards.,9
Develop daily schedules for children or families.,10
Engineering,
Research advanced engineering designs or applications.,1
Analyze design requirements for computer or electronics systems.,2
Document technical design details.,3
Design electrical equipment or systems.,4
Design industrial equipment.,5
Design civil structures or systems.,6
Evaluate technical data to determine effect on designs or plans.,7
Design energy production or management equipment or systems.,8
Design structures or facilities.,9
Design electromechanical equipment or systems.,10
English Literature,
Manage documentation to ensure organization or accuracy.,1
Document design or operational test results.,2
Issue warnings or citations.,3
Record information from meetings or other formal proceedings.,4
Document technical specifications or requirements.,5
Assist other educational professionals with projects or research.,6
Teach humanities courses at the college level.,7
"Prepare documentation for contracts, transactions, or regulatory compliance.",8
Document operational procedures.,9
"Send information, materials or documentation.",10
Film and Photography,
"Develop artistic or design concepts for decoration, exhibition, or commercial purposes.",1
Review art or design materials.,2
Discuss production content and progress with others.,3
"Construct distinctive physical objects for artistic, functional, or commercial purposes.",4
Draw detailed or technical illustrations.,5
Prepare film for distribution or use.,6
Collaborate with others to develop or refine designs.,7
Prepare production storyboards.,8
Review production information to determine costume or makeup requirements.,9
Design video game features or details.,10
Fine Arts,
"Develop artistic or design concepts for decoration, exhibition, or commercial purposes.",1
Review art or design materials.,2
Coordinate artistic activities.,3
"Construct distinctive physical objects for artistic, functional, or commercial purposes.",4
Draw detailed or technical illustrations.,5
Create diagrams or blueprints for workpieces or products.,6
Collaborate with others to develop or refine designs.,7
"Design layout of art or product exhibits, displays, or promotional materials.",8
Create graphical representations of structures or landscapes.,9
Draw guide lines or markings on materials or workpieces using patterns or other references.,10
Fitness and Leisure,
"Advise athletes, coaches, or trainers on exercise regimens, nutrition, or equipment use.",1
Coordinate training activities.,2
Schedule activities or facility use.,3
Evaluate program effectiveness.,4
Supervise trainees.,5
Conduct health or safety training programs.,6
Train others on performance techniques.,7
Teach health management classes.,8
Conduct employee training programs.,9
Evaluate performance of educational staff.,10
French,
Attend events to develop professional knowledge.,1
Assist other educational professionals with projects or research.,2
Record information from meetings or other formal proceedings.,3
Teach online courses.,4
Accompany individuals or groups to activities.,5
Maintain current knowledge related to work activities.,6
Supervise trainees.,7
Communicate with others to coordinate material handling or movement.,8
Liaise between departments or other groups to improve function or communication.,9
Teach humanities courses at the college level.,10
Geography,
Survey land or bodies of water to measure or determine features.,1
Analyze geological or geographical data.,2
Create maps.,3
Locate natural resources using geospatial or other environmental data.,4
Collect geographical or geological field data.,5
Analyze environmental data.,6
Create graphical representations of structures or landscapes.,7
Prepare maps.,8
Gather physical survey data.,9
Research hydrologic features or processes.,10
German,
Attend events to develop professional knowledge.,1
Record information from meetings or other formal proceedings.,2
Liaise between departments or other groups to improve function or communication.,3
Accompany individuals or groups to activities.,4
Present business-related information to audiences.,5
Maintain current knowledge related to work activities.,6
Assist other educational professionals with projects or research.,7
Manage documentation to ensure organization or accuracy.,8
Teach humanities courses at the college level.,9
Supervise trainees.,10
Health Technician,
Examine medical instruments or equipment to ensure proper operation.,1
Confer with other professionals to plan patient care.,2
Interact with patients to build rapport or provide emotional support.,3
Monitor patients following surgeries or other treatments.,4
Instruct patients in the use of assistive equipment.,5
Supervise patient care personnel.,6
Supervise technical medical personnel.,7
Collect biological specimens from patients.,8
Diagnose medical conditions.,9
Teach medical procedures or medical equipment use to patients.,10
Hebrew,
Supervise trainees.,1
Teach online courses.,2
Manage documentation to ensure organization or accuracy.,3
"Prepare documentation for contracts, transactions, or regulatory compliance.",4
Document technical specifications or requirements.,5
Record information from meetings or other formal proceedings.,6
Maintain current knowledge related to work activities.,7
Prepare information or documentation related to legal or regulatory matters.,8
Conduct employee training programs.,9
Maintain student records.,10
History,
Teach humanities courses at the college level.,1
Interview people to obtain information about actions or status of individuals.,2
Evaluate characteristics of archival or historical objects.,3
Manage documentation to ensure organization or accuracy.,4
Record information from meetings or other formal proceedings.,5
Monitor current trends.,6
Conduct anthropological or archaeological research.,7
Teach social science courses at the college level.,8
Stay informed about current developments in field of specialization.,9
"Send information, materials or documentation.",10
Japanese,
Attend events to develop professional knowledge.,1
Teach online courses.,2
Supervise trainees.,3
Present business-related information to audiences.,4
Communicate with others to coordinate material handling or movement.,5
Accompany individuals or groups to activities.,6
Maintain current knowledge related to work activities.,7
Conduct amusement or gaming activities.,8
Maintain professional knowledge or certifications.,9
Assist other educational professionals with projects or research.,10
Journalism,
Interview others for news or entertainment purposes.,1
Present information to the public.,2
Manage content of broadcasts or presentations.,3
Interview people to obtain information about actions or status of individuals.,4
"Write articles, books or other original materials in area of expertise.",5
Discuss production content and progress with others.,6
"Document events or evidence, using photographic or audiovisual equipment.",7
Provide information to coworkers.,8
Provide information to the general public.,9
Coordinate reporting or editing activities.,10
Law,
Research relevant legal materials to aid decision making.,1
Identify implications for cases from legal precedents or other legal information.,2
Prepare written decisions for legal proceedings.,3
Make decisions in legal cases.,4
Prepare information or documentation related to legal or regulatory matters.,5
Represent the interests of clients in legal proceedings.,6
Rule on admissibility of legal proceedings.,7
Prepare documentation of legal proceedings.,8
Update knowledge of legal or regulatory environments.,9
Document information related to legal proceedings.,10
Library Science,
Help patrons use library or archival resources.,1
Organize informational materials.,2
Compile specialized bibliographies or lists of materials.,3
"Develop policies or procedures for archives, museums or libraries.",4
Develop library or archival databases.,5
Manage documentation to ensure organization or accuracy.,6
Distribute instructional or library materials.,7
Identify information technology project resource requirements.,8
Provide information to coworkers.,9
Present information to the public.,10
Linguistics,
"Send information, materials or documentation.",1
Manage documentation to ensure organization or accuracy.,2
Document technical specifications or requirements.,3
Document design or operational test results.,4
Interview people to obtain information about actions or status of individuals.,5
Develop procedures for data entry or processing.,6
Develop models of information or communications systems.,7
Record information from meetings or other formal proceedings.,8
Stay informed about current developments in field of specialization.,9
Analyze market research data.,10
Marketing,
Collaborate with others to develop or implement marketing strategies.,1
Perform marketing activities.,2
Analyze market research data.,3
Develop business or market strategies.,4
Collaborate with others in marketing activities.,5
Train customers in the use of products.,6
Deliver promotional presentations to current or prospective customers.,7
Develop promotional materials.,8
Analyze market or customer related data.,9
Create marketing materials.,10
Mathematics,
Apply mathematical models of financial or business conditions.,1
Develop financial analysis methods.,2
Determine operational methods.,3
Review blueprints or other instructions to determine operational methods or sequences.,4
Analyze data to determine project feasibility.,5
Analyze data to assess operational or project effectiveness.,6
Calculate data to inform organizational operations.,7
Develop procedures for data entry or processing.,8
Analyze data to inform personnel decisions.,9
Analyze business or financial data.,10
Mechanic / Repair Tech,
"Determine types of equipment, tools, or materials needed for jobs.",1
Conduct validation tests of equipment or processes.,2
"Select tools, equipment, or technologies for use in operations or projects.",3
Test mechanical equipment to ensure proper functioning.,4
Inspect equipment to ensure safety or proper functioning.,5
Inspect safety equipment to ensure proper functioning.,6
Monitor work areas or procedures to ensure compliance with safety procedures.,7
Evaluate characteristics of equipment or systems.,8
"Develop safety standards, policies, or procedures.",9
Inspect facilities or equipment to ensure specifications are met.,10
Media / Communications,
Present business-related information to audiences.,1
Present information to the public.,2
Liaise between departments or other groups to improve function or communication.,3
Manage content of broadcasts or presentations.,4
Provide information to coworkers.,5
Communicate organizational information to customers or other stakeholders.,6
Deliver promotional presentations to current or prospective customers.,7
Conduct surveys in organizations.,8
Establish organizational guidelines or policies.,9
Establish interpersonal business relationships to facilitate work activities.,10
Medicine,
Analyze health-related data.,1
Advise patients on healthcare system processes.,2
Collaborate with healthcare professionals to plan or provide treatment.,3
Develop patient therapy programs.,4
Confer with other professionals to plan patient care.,5
Interact with patients to build rapport or provide emotional support.,6
Establish standards for medical care.,7
Establish nursing policies or standards.,8
"Assess patient work, living, or social environments.",9
Implement therapeutic programs to improve patient functioning.,10
Military Science,
Recruit personnel.,1
Supervise trainees.,2
Confer with others to conduct or arrange operational activities.,3
Establish operational policies.,4
Direct activities of subordinates.,5
Coordinate personnel recruitment activities.,6
Coordinate training activities.,7
Resolve personnel problems.,8
Liaise between departments or other groups to improve function or communication.,9
Evaluate effectiveness of personnel policies or practices.,10
Music,
"Create musical compositions, arrangements or scores.",1
Coordinate musical rehearsals or performances.,2
Train others on performance techniques.,3
Perform for recordings.,4
Perform music for the public.,5
Adjust tuning or functioning of musical instruments.,6
Audition or interview potential performers or staff members.,7
Choreograph dances.,8
Evaluate performance of educational staff.,9
"Develop artistic or design concepts for decoration, exhibition, or commercial purposes.",10
Nursing,
Establish nursing policies or standards.,1
Confer with other professionals to plan patient care.,2
Collaborate with healthcare professionals to plan or provide treatment.,3
Interact with patients to build rapport or provide emotional support.,4
Implement therapeutic programs to improve patient functioning.,5
Develop patient therapy programs.,6
Collaborate with other professionals to assess client needs or plan treatments.,7
Advise patients on healthcare system processes.,8
"Assess patient work, living, or social environments.",9
Supervise patient care personnel.,10
Nutrition,
Monitor nutrition related activities of individuals or groups.,1
Manage preparation of special meals or diets.,2
Evaluate quality of food ingredients or prepared foods.,3
Determine food production methods.,4
"Estimate supplies, ingredients, or staff requirements for food preparation activities.",5
Analyze health-related data.,6
Prepare foods or meals.,7
Research methods to improve food products.,8
Prepare foods for cooking or serving.,9
Inspect food products.,10
Philosophy,
Identify implications for cases from legal precedents or other legal information.,1
Resolve interpersonal conflicts.,2
Research relevant legal materials to aid decision making.,3
Mediate disputes.,4
Review laws or regulations to maintain professional knowledge.,5
Maintain knowledge of laws or regulations.,6
Maintain current knowledge related to work activities.,7
Teach humanities courses at the college level.,8
Manage documentation to ensure organization or accuracy.,9
Issue warnings or citations.,10
Physics,
Measure physical or chemical properties of materials or objects.,1
Create physical models or prototypes.,2
Design electromechanical equipment or systems.,3
Create electrical schematics.,4
Design electrical equipment or systems.,5
Research new technologies.,6
Research advanced engineering designs or applications.,7
Calibrate scientific or technical equipment.,8
"Send information, materials or documentation.",9
Review blueprints or other instructions to determine operational methods or sequences.,10
Political Science,
Advise others on matters of public policy.,1
Teach social science courses at the college level.,2
Analyze impact of legal or regulatory changes.,3
Research relevant legal materials to aid decision making.,4
Research issues related to the environment or sustainable business practices.,5
"Forecast economic, political, or social trends.",6
Identify implications for cases from legal precedents or other legal information.,7
Appraise environmental impact of regulations or policies.,8
Interview people to obtain information about actions or status of individuals.,9
Mediate disputes.,10
Psychology,
Treat patients using psychological therapies.,1
Develop patient therapy programs.,2
Discuss child development and behavior with parents or guardians.,3
Conduct surveys in organizations.,4
Encourage patients or clients to develop life skills.,5
Analyze data to inform personnel decisions.,6
Counsel clients regarding interpersonal issues.,7
Intervene in crisis situations to assist clients.,8
Analyze health-related data.,9
Evaluate potential problems in home or work environments of clients.,10
Public Safety,
Develop emergency response plans or procedures.,1
Develop fire safety or prevention programs or plans.,2
Advise others on management of emergencies or hazardous situations or materials.,3
Communicate safety or hazard information to others.,4
Inspect facilities to ensure compliance with fire regulations.,5
"Develop safety standards, policies, or procedures.",6
Develop emergency procedures.,7
Monitor work areas or procedures to ensure compliance with safety procedures.,8
Maintain contingency plans for disaster recovery.,9
Direct fire fighting or prevention activities.,10
Religion,
Develop promotional strategies for religious organizations.,1
Teach humanities courses at the college level.,2
Conduct anthropological or archaeological research.,3
Manage documentation to ensure organization or accuracy.,4
"Send information, materials or documentation.",5
Teach online courses.,6
Record information from meetings or other formal proceedings.,7
Assist other educational professionals with projects or research.,8
Establish work standards.,9
Interview people to obtain information about actions or status of individuals.,10
Sign Language,
Assist individuals with special needs.,1
Test patient hearing.,2
Communicate with others to coordinate material handling or movement.,3
Instruct patients in the use of assistive equipment.,4
Operate audio-visual equipment.,5
Evaluate performance of educational staff.,6
Accompany individuals or groups to activities.,7
Evaluate program effectiveness.,8
Assist other educational professionals with projects or research.,9
Liaise between departments or other groups to improve function or communication.,10
Social Work,
Train staff members in social services skills.,1
Develop patient therapy programs.,2
Maintain professional social services knowledge.,3
Intervene in crisis situations to assist clients.,4
Collaborate with other professionals to assess client needs or plan treatments.,5
Help clients get needed services or resources.,6
Implement therapeutic programs to improve patient functioning.,7
Refer individuals to educational or work programs.,8
Encourage patients or clients to develop life skills.,9
Evaluate program effectiveness.,10
Sociology,
Conduct surveys in organizations.,1
Teach social science courses at the college level.,2
Analyze market research data.,3
Advise others on social or educational issues.,4
Interview people to obtain information about actions or status of individuals.,5
Research issues related to the environment or sustainable business practices.,6
Conduct opinion surveys or needs assessments.,7
"Analyze jobs using observation, survey, or interview techniques.",8
Evaluate potential problems in home or work environments of clients.,9
Analyze health-related data.,10
Spanish,
Assist other educational professionals with projects or research.,1
Evaluate program effectiveness.,2
Evaluate performance of educational staff.,3
Attend events to develop professional knowledge.,4
Accompany individuals or groups to activities.,5
Conduct eligibility or selection interviews.,6
Maintain current knowledge related to work activities.,7
Record information from meetings or other formal proceedings.,8
Supervise trainees.,9
Advise others on social or educational issues.,10
Theatre Arts,
Direct productions or performances.,1
Audition or interview potential performers or staff members.,2
Review production information to determine costume or makeup requirements.,3
Entertain public with comedic or dramatic performances.,4
Train others on performance techniques.,5
Coordinate musical rehearsals or performances.,6
Prepare production storyboards.,7
"Develop artistic or design concepts for decoration, exhibition, or commercial purposes.",8
Choreograph dances.,9
Discuss production content and progress with others.,10
Theology,
Develop promotional strategies for religious organizations.,1
Manage outreach activities.,2
"Provide counsel, comfort, or encouragement to individuals or families.",3
Encourage patients or clients to develop life skills.,4
Establish work standards.,5
Manage documentation to ensure organization or accuracy.,6
Establish organizational guidelines or policies.,7
Supervise trainees.,8
Intervene in crisis situations to assist clients.,9
Teach humanities courses at the college level.,10
Transportation,
Plan flight operations.,1
Coordinate flight control or management activities.,2
Communicate safety or hazard information to others.,3
"Develop safety standards, policies, or procedures.",4
Operate transportation equipment to demonstrate function or malfunction.,5
Pilot aircraft.,6
Confer with other personnel to resolve design or operational problems.,7
Monitor work areas or procedures to ensure compliance with safety procedures.,8
Conduct validation tests of equipment or processes.,9
Inspect safety equipment to ensure proper functioning.,10
Veterinary Medicine,
"Examine animals to detect illness, injury or other problems.",1
Treat animal injuries or illnesses.,2
Prepare biological specimens for laboratory analysis.,3
Perform animal breeding procedures.,4
Monitor animal behavior or condition.,5
Research livestock management methods.,6
Prepare biological samples for testing or analysis.,7
Collect biological specimens from patients.,8
Provide care for animals.,9
Analyze laboratory specimens to detect abnormalities or other problems.,10
Women's Studies,
Teach social science courses at the college level.,1
Advise others on social or educational issues.,2
Teach humanities courses at the college level.,3
Assist other educational professionals with projects or research.,4
Conduct surveys in organizations.,5
Research issues related to the environment or sustainable business practices.,6
Establish work standards.,7
Interview people to obtain information about actions or status of individuals.,8
Advocate for individual or community needs.,9
"Send information, materials or documentation.",10
