id	ext_ids	ext_urls	label	description	tags	source	grade_start	grade_end
khan.order-by-length	dbpedia.Ordering	http://dbpedia.org/resource/Category:Ordering	Order by length		math	khan	1.0	1.0
khan.attributes-of-shapes			Name shapes 3		math	khan	0.0	6.0
khan.addition_2	dbpedia.20	http://dbpedia.org/resource/Category:20	Add within 20		math	khan	1.0	2.0
khan.groups-of-tens	lcsh.sh00009348	http://id.loc.gov/authorities/subjects/sh00009348	Groups of ten objects		math	khan	1.0	1.0
khan.tens-and-ones	junyi.OVGQBBcCHSOyJ89uwY+z15n2iuZYrv8Tajf37jiGzqc=;【基礎】幾個十幾個一(1);junyi.lvobiTtwUsd1ylmrciW7NzJnmmcqFC1J9PmoZ6R8xK0=;【基礎】幾個十幾個一(2);lcsh.sh85133936	http://id.loc.gov/authorities/subjects/sh85133936	Tens and ones		math;elementary	khan	1.0	6.0
khan.comparing_whole_numbers			Compare 2-digit numbers		math	khan	7.0	9.0
khan.measuring-lengths-1			Measure lengths 1		math	khan	2.0	2.0
khan.halves-and-fourths			Halves and fourths		math	khan	1.0	1.0
khan.subtraction_2			Subtract within 20		math	khan	1.0	2.0
khan.comparing-two-digit-numbers-1			Compare 2-digit numbers 2		math	khan	7.0	9.0
khan.meaning-of-equal-sign-1			Equal sign		math	khan	1.0	1.0
khan.addition-and-subtraction-word-problems-within-20--level-1	lcsh.sh85148106	http://id.loc.gov/authorities/subjects/sh85148106	Addition and subtraction word problems 1		math	khan	7.0	9.0
khan.adding-three-numbers	dbpedia.3_(number)	http://dbpedia.org/resource/Category:3_(number)	Add 3 numbers		math	khan	1.0	6.0
khan.addition-and-subtraction-word-problems-within-20--level-2	lcsh.sh85148106	http://id.loc.gov/authorities/subjects/sh85148106	Addition and subtraction word problems 2		math	khan	7.0	9.0
khan.addition-and-subtraction-word-problems-within-20--level-3			Word problems with \more\ and \fewer\ 1		math	khan	1.0	1.0
khan.breaking-apart-two-digit-addition-problems			Break apart 2-digit addition problems		math	khan	1.0	6.0
khan.add-within-100--level-1			Add 1 or 10		math	khan	1.0	6.0
khan.addition-and-subtraction-word-problems-within-20--level-4			Word problems with \more\ and \fewer\ 2		math	khan	1.0	1.0
khan.adding-1s-or-10s-to-two-digit-numbers			Add 1s or 10s (no regrouping)		math	khan	1.0	6.0
khan.solving-problems-with-bar-graphs-1			Solve problems with bar graphs 1		math	khan	2.0	2.0
khan.regroup-two-digit-plus-one-digit			Regroup when adding 1-digit numbers		math	khan	2.0	2.0
khan.add-within-100--level-2	dbpedia.Three-digit_telephone_numbers	http://dbpedia.org/resource/Category:Three-digit_telephone_numbers	Add 2-digit numbers (no regrouping)		math	khan	1.0	6.0
khan.subtract-with-in-100-level-1			Subtract 1 or 10		math	khan	3.0	3.0
khan.making-100			Add 2-digit numbers by making tens		math	khan	1.0	1.0
khan.subtracting-1s-or-10s			Subtracting 1s or 10s (no regrouping)		math	khan	3.0	3.0
khan.hundreds--tens--and-ones	lcsh.sh2006002915	http://id.loc.gov/authorities/subjects/sh2006002915	Hundreds tens and ones		math	khan	1.0	6.0
khan.measuring-lengths-2			Measure lengths 2		math	khan	2.0	2.0
khan.making-100-level-2			Add 2-digit numbers by making tens 2		math	khan	1.0	1.0
khan.subtract-within-100-level-2			Subtract 2-digit numbers (no regrouping)		math	khan	1.0	6.0
khan.regroup-two-dig-minus-one-dig			Subtract 1-digit numbers with regrouping		math	khan	1.0	6.0
khan.skip-counting-by-5s			Skip-count by 5s		math	khan	2.0	2.0
khan.writing-numbers-to-1000	lcsh.sh85102561	http://id.loc.gov/authorities/subjects/sh85102561	3-digit place value challenge		math	khan	4.0	4.0
khan.solving-problems-with-picture-graphs-1			Solve problems with picture graphs 1		math	khan	7.0	9.0
khan.solving-problems-with-line-plots-1			Solve problems with line plots		math	khan	1.0	6.0
khan.estimating-lengths	khan.estimate-lengths--us-customary-units-		Estimate lengths		math	khan	2.0	2.0
khan.recognizing-shapes	dbpedia.Elementary_shapes	http://dbpedia.org/resource/Category:Elementary_shapes	Name shapes 4		math	khan	0.0	6.0
khan.comparing-numbers-within-1000	dbpedia.Three-digit_telephone_numbers	http://dbpedia.org/resource/Category:Three-digit_telephone_numbers	Compare 3-digit numbers		math	khan	7.0	9.0
khan.creating-line-plots-1	lcsh.sh85103533	http://id.loc.gov/authorities/subjects/sh85103533	Make line plots		math	khan	1.0	6.0
khan.equal-parts-of-circles-and-rectangles			Equal parts of circles and rectangles		math	khan	2.0	2.0
khan.subtraction_3			Subtract within 100		math	khan	3.0	3.0
khan.add-sub-within-100-w-num-line			Add and subtract using a number line		math	khan	1.0	6.0
khan.select-strategies-for-adding-within-100			Select strategies for adding within 100		math	khan	2.0	2.0
khan.addition-and-subtraction-word-problems-within-100--level-1			Add and subtract within 100 word problems 1		math	khan	2.0	2.0
khan.addition-and-subtraction-word-problems-within-100--level-2			Add and subtract within 100 word problems 2		math	khan	2.0	2.0
khan.repeated-addition	lcsh.sh85000819	http://id.loc.gov/authorities/subjects/sh85000819	Repeated addition		math	khan	1.0	6.0
khan.find-the-missing-number-add-sub-within-100	khan.find-the-missing-number--addition-and-subtraction-within-1000-;lcsh.sh85062987	http://id.loc.gov/authorities/subjects/sh85062987	Find the missing number (add and subtract within 100)		math	khan	2.0	2.0
khan.addition-and-subtraction-word-problems-within-100--level-3			Add and subtract within 100 word problems 3		math	khan	2.0	2.0
khan.telling_time_0.5	lcsh.sh85135409	http://id.loc.gov/authorities/subjects/sh85135409	Tell time with a labeled clock		math	khan	1.0	6.0
khan.addition-and-subtraction-word-problems-within-100--level-4	lcsh.sh85148106	http://id.loc.gov/authorities/subjects/sh85148106	Challenging add and subtract word problems (within 100)		math	khan	2.0	2.0
khan.break-apart-three-dig-add			Break apart 3-digit addition problems		math	khan	1.0	6.0
khan.adding-and-subtracting-on-the-number-line-word-problems			Add and subtract on the number line word problems		math	khan	1.0	6.0
khan.telling_time			Tell time without labels		math	khan	1.0	1.0
khan.meaning-of-multiplication			Meaning of multiplication		math	khan	3.0	3.0
khan.counting-money--us-	esco.42cad89f-afd4-4418-8439-8ce87eff1f26;http://data.europa.eu/esco/skill/42cad89f-afd4-4418-8439-8ce87eff1f26	http://data.europa.eu/esco/skill/42cad89f-afd4-4418-8439-8ce87eff1f26	Count money (U.S.)	Count money by sorting and wrapping money and coins.	math;skill competence	khan	0.0	2.0
khan.add-within-1000--level-1			Add 10s and 100s (no regrouping)		math	khan	1.0	6.0
khan.length-word-problems	lcsh.sh85148106	http://id.loc.gov/authorities/subjects/sh85148106	Length word problems		math	khan	2.0	2.0
khan.solving-problems-with-bar-graphs-2			Solve problems with bar graphs 2		math	khan	2.0	2.0
khan.multiplying-by-3	dbpedia.3_(number)	http://dbpedia.org/resource/Category:3_(number)	Multiply by 3		math	khan	1.0	6.0
khan.multiplying-by-2	dbpedia.2_(number)	http://dbpedia.org/resource/Category:2_(number)	Multiply by 2		math	khan	7.0	9.0
khan.multiplying-by-0-or-1			Multiply by 0 or 1		math	khan	1.0	6.0
khan.add-within-1000--level-2	dbpedia.Three-digit_telephone_numbers	http://dbpedia.org/resource/Category:Three-digit_telephone_numbers	Add 2- and 3-digit numbers (no regrouping)		math	khan	2.0	2.0
khan.subtract-within-1000--level-1			Subtract 10s and 100s (no regrouping)		math	khan	3.0	3.0
khan.multiplying-by-6	lcsh.sh85123063	http://id.loc.gov/authorities/subjects/sh85123063	Multiply by 6		math	khan	1.0	6.0
khan.multiplying-by-4	dbpedia.4_(number)	http://dbpedia.org/resource/Category:4_(number)	Multiply by 4		math	khan	1.0	6.0
khan.multiplying-by-5			Multiply by 5		math	khan	5.0	5.0
khan.subtract-within-1000--level-2			Subtract 2- and 3-digit numbers (no regrouping)		math	khan	1.0	6.0
khan.that-s-not-fair-			Cut shapes into equal parts		math	khan	1.0	6.0
khan.multiplying-by-7	lcsh.sh85120410	http://id.loc.gov/authorities/subjects/sh85120410	Multiply by 7		math	khan	1.0	6.0
khan.multiplying-by-9	lcsh.sh85091979	http://id.loc.gov/authorities/subjects/sh85091979	Multiply by 9		math	khan	1.0	6.0
khan.multiplying-by-8			Multiply by 8		math	khan	1.0	6.0
khan.adding-and-subtracting-within-1000-using-a-number-line			Add and subtract on a number line		math	khan	1.0	6.0
khan.cutting-shapes-into-equal-parts			Identify unit fractions		math	khan	1.0	6.0
khan.meaning-of-division	lcsh.sh00006400	http://id.loc.gov/authorities/subjects/sh00006400	Meaning of division		math	khan	1.0	6.0
khan.recognizing_fractions_0.5			Recognize fractions		math	khan	7.0	9.0
khan.dividing-by-3	dbpedia.3_(number)	http://dbpedia.org/resource/Category:3_(number)	Divide by 3		math	khan	1.0	6.0
khan.dividing-by-2			Divide by 2		math	khan	1.0	6.0
khan.dividing-by-1	lcsh.sh00006400	http://id.loc.gov/authorities/subjects/sh00006400	Divide by 1		math	khan	1.0	6.0
khan.dividing-by-6	lcsh.sh85123063	http://id.loc.gov/authorities/subjects/sh85123063	Divide by 6		math	khan	1.0	6.0
khan.dividing-by-4	dbpedia.4_(number)	http://dbpedia.org/resource/Category:4_(number)	Divide by 4		math	khan	4.0	4.0
khan.dividing-by-5			Divide by 5		math	khan	1.0	6.0
khan.addition_4	dbpedia.1000	http://dbpedia.org/resource/Category:1000	Add within 1000		math	khan	1.0	6.0
khan.dividing-by-7	lcsh.sh85120410	http://id.loc.gov/authorities/subjects/sh85120410	Divide by 7		math	khan	1.0	6.0
khan.dividing-by-9	lcsh.sh85091979	http://id.loc.gov/authorities/subjects/sh85091979	Divide by 9		math	khan	1.0	6.0
khan.dividing-by-8			Divide by 8		math	khan	3.0	3.0
khan.dividing-by-10	lcsh.sh85133805	http://id.loc.gov/authorities/subjects/sh85133805	Divide by 10		math	khan	3.0	3.0
khan.multiplication_0.5	lcsh.sh85088383	http://id.loc.gov/authorities/subjects/sh85088383	Basic multiplication		math	khan	1.0	6.0
khan.understanding-area	dbpedia.Units_of_area	http://dbpedia.org/resource/Category:Units_of_area	Compare area with unit squares		math	khan	3.0	3.0
khan.making-100-and-1000			Add using groups of 10 and 100		math	khan	2.0	2.0
khan.subtraction_4	opensalt.77ad8918-4d44-11ec-8ff9-0242ac140003;opensalt.3.ASWT;opensalt.8b7dbb72-3082-11ec-9345-0242ac140003;opensalt.Khan_3.NBT.A.2;csp.EEF68020A1C044E3A6FF1E0D0348CEFF;S2726876;EEF68020A1C044E3A6FF1E0D0348CEFF		Subtract within 1000		math;unit;florida math scope and sequence;content;content khan academy;archived british columbia;british columbia	khan	3.0	3.0
khan.multiply-1-digit-number-by-10--100-1000			Multiply 1-digit numbers by 10 100 and 1000		math	khan	3.0	3.0
khan.converting_repeating_decimals_to_fractions_1	dbpedia.Decimalisation	http://dbpedia.org/resource/Category:Decimalisation	Converting repeating decimals to fractions		math	khan	1.0	6.0
khan.multiplication_1	junyi.Iivwb5nkQMEAcelv+J6uucjr4biBoKM554pqeUoGhs4=;【基礎】整十的整十倍;lcsh.sh85133936	http://id.loc.gov/authorities/subjects/sh85133936	Multiply by tens		math;elementary	khan	1.0	6.0
khan.division_0.5	lcsh.sh00006400	http://id.loc.gov/authorities/subjects/sh00006400	Basic division		math	khan	1.0	6.0
khan.writing-fractions-as-whole-numbers			Write fractions as whole numbers		math	khan	3.0	3.0
khan.fractions_on_the_number_line_1			Fractions on the number line		math	khan	1.0	6.0
khan.fractions-greater-than-one			Recognize fractions greater than 1		math	khan	1.0	6.0
khan.recognizing_fractions			Identify numerators and denominators		math	khan	1.0	6.0
khan.area_1			Find area by counting unit squares		math	khan	3.0	3.0
khan.perimeter_1			Find perimeter by counting unit squares		math	khan	1.0	6.0
khan.rounding-to-the-nearest-ten-or-hundred			Round to nearest 10 or 100		math	khan	3.0	3.0
khan.patterns-in-the-addition-table-and-multiplication-table	lcsh.sh85088382	http://id.loc.gov/authorities/subjects/sh85088382	Patterns in multiplication tables		math	khan	1.0	6.0
khan.multiply-by-tens-word-problems	lcsh.sh85148106	http://id.loc.gov/authorities/subjects/sh85148106	Multiply by tens word problems		math	khan	1.0	6.0
khan.division_1			Find missing divisors and dividends (1-digit division)		math	khan	1.0	6.0
khan.multiplying-tens			Multiplying 10s		math	khan	1.0	6.0
khan.multiplying-with-arrays	dbpedia.Arrays	http://dbpedia.org/resource/Category:Arrays	Multiply with arrays		math	khan	1.0	6.0
khan.fractions_on_the_number_line_2			Unit fractions on the number line		math	khan	1.0	6.0
khan.equivalent-fraction-models-1			Equivalent fraction models		math	khan	5.0	5.0
khan.naming-the-whole			Compare fractions of different wholes		math	khan	1.0	6.0
khan.time-differences	khan.time-differences--over-the-hour-		Time differences (within the hour)		math	khan	1.0	6.0
khan.find-area-of-rectangles-by-counting-unit-squares			Create rectangles with a given area		math	khan	1.0	6.0
khan.measure-to-find-area	lcsh.sh85006984	http://id.loc.gov/authorities/subjects/sh85006984	Measure to find area		math	khan	1.0	6.0
khan.solving-problems-with-bar-graphs-3			Read bar graphs and solve 1-step problems		math	khan	1.0	6.0
khan.reading_pictographs_2	khan.solving-problems-with-picture-graphs-2		Read picture graphs (multi-step problems)		math	khan	3.0	3.0
khan.commutative-property-of-multiplication	lcsh.sh85029267	http://id.loc.gov/authorities/subjects/sh85029267	Commutative property of multiplication		math	khan	7.0	9.0
khan.distributive-property-of-multiplication-			Distributive property of multiplication		math	khan	7.0	9.0
khan.relate-division-to-multiplication	lcsh.sh85038612	http://id.loc.gov/authorities/subjects/sh85038612	Relate division to multiplication		math	khan	1.0	6.0
khan.dividing-with-visuals			Divide with visuals		math	khan	1.0	6.0
khan.letters-and-symbols-in-multiplication-and-division-equations			Letters and symbols in multiplication and division equations		math	khan	1.0	6.0
khan.finding-1-on-the-number-line	dbpedia.1_(number)	http://dbpedia.org/resource/Category:1_(number)	Find 1 on the number line		math	khan	1.0	6.0
khan.equivalent-fraction-models			Equivalent fractions on the number line		math	khan	1.0	6.0
khan.telling-time-word-problems-with-the-number-line			Time word problems with number line		math	khan	3.0	3.0
khan.finding-area-by-multiplying			Transition from unit squares to area formula		math	khan	1.0	6.0
khan.measure-to-find-perimeter			Measure to find perimeter		math	khan	1.0	6.0
khan.perimeter-2			Find perimeter when given side lengths		math	khan	1.0	6.0
khan.categorize-quadrilaterals	lcsh.sh85074180	http://id.loc.gov/authorities/subjects/sh85074180	Analyze quadrilaterals		math	khan	7.0	9.0
khan.estimating-volume			Estimate volume (milliliters and liters)		math	khan	1.0	6.0
khan.estimating-mass			Estimate mass (grams and kilograms)		math	khan	1.0	6.0
khan.estimating-length--inches--feet--yards--and-miles-	khan.estimating-length--millimeters--centimeters--meters--kilometers-		Estimating length (in ft yd and mi)		math	khan	2.0	2.0
khan.comparing-fractions-with-the-same-numerator-or-denominator			Visually compare fractions 1		math	khan	1.0	6.0
khan.measuring-area-with-unit-squares			Find area with partial unit squares		math	khan	1.0	6.0
khan.find-a-missing-side-length-when-given-perimeter			Find a missing side length when given perimeter		math	khan	1.0	6.0
khan.creating_bar_charts_1	dbpedia.Bar_chart_templates	http://dbpedia.org/resource/Category:Bar_chart_templates	Create bar graphs		math	khan	1.0	6.0
khan.reading_bar_charts_2			Read bar graphs (2-step problems)		math	khan	1.0	6.0
khan.creating-picture-and-bar-graphs-2			Create picture graphs (picture more than 1)		math	khan	3.0	3.0
khan.rounding-to-the-nearest-10-or-100-on-the-number-line			Round to nearest 10 or 100 on the number line		math	khan	3.0	3.0
khan.two-step-word-problems-with-addition--subtraction--multiplication--and-division	lcsh.sh85148106	http://id.loc.gov/authorities/subjects/sh85148106	2-step word problems		math	khan	3.0	3.0
khan.estimating-volume--cups--pints--quarts--and-gallons-			Estimating volume (cups pints quarts and gallons)		math	khan	1.0	6.0
khan.volume-word-problems-1			Word problems with volume		math	khan	1.0	6.0
khan.estimating-mass--ounces-and-pounds-			Estimating mass (ounces and pounds)		math	khan	3.0	3.0
khan.patterns	lcsh.sh2020005895	http://id.loc.gov/authorities/subjects/sh2020005895	Math patterns 1		math	khan	0.0	12.0
khan.relate-division-to-multiplication-word-problems	lcsh.sh85148106	http://id.loc.gov/authorities/subjects/sh85148106	Relate division to multiplication word problems		math	khan	3.0	3.0
khan.telling-time-word-problems	khan.telling-time-word-problems-		Telling time word problems (within the hour)		math	khan	3.0	3.0
khan.find-a-missing-side-length-when-given-area-of-a-rectangle			Find a missing side length when given area		math	khan	1.0	6.0
khan.decompose-figures-to-find-area-1			Decompose figures to find area 1		math	khan	3.0	4.0
khan.comparing-areas-by-multiplying			Compare areas by multiplying		math	khan	1.0	6.0
khan.rounding-challenge	junyi.eRdS2Lfw8wCLAeMb0UNbMsFEJ7BUXHLFDmkwPctkCOM=;【基礎】四捨五入法 2;junyi.51yeHVqlt292oD7kSlyIajwHuUui7mT8PnYSMxUExjs=;【基礎】四捨五入法 1		Rounding challenge		math;elementary	khan	1.0	6.0
khan.place_value	lcsh.sh85102561	http://id.loc.gov/authorities/subjects/sh85102561	Intro to place value		math	khan	1.0	6.0
khan.measurement-units	khan.converting-larger-units-to-smaller-units--ounces-and-pounds-;khan.converting-larger-units-to-smaller-units--grams-and-kilograms-;khan.converting-larger-units-to-smaller-units--milliliters-and-liters-;khan.converting-larger-units-to-smaller-units--inches--feet--yards--and-miles-;khan.converting-larger-units-to-smaller-units--cups--pints--quarts--and-gallons-;khan.converting-larger-units-to-smaller-units--millimeters--centimeters--meters--and-kilometers-		Convert to smaller units (sec min & hr)		math	khan	1.0	6.0
khan.measure-mass			Word problems with mass		math	khan	3.0	3.0
khan.comparing_fractions_1			Compare fractions with the same numerator or denominator		math	khan	1.0	6.0
khan.decompose-shapes-to-find-area			Decompose figures to find area 2		math	khan	3.0	4.0
khan.comparing-area-and-perimeter			Compare area and perimeter		math	khan	1.0	6.0
khan.perimeter-word-problems	lcsh.sh85148106	http://id.loc.gov/authorities/subjects/sh85148106	Perimeter word problems		math	khan	1.0	6.0
khan.creating-line-plots-2	lcsh.sh85103533	http://id.loc.gov/authorities/subjects/sh85103533	Graph data on line plots		math	khan	1.0	6.0
khan.multiplying-by-10			Multiply whole numbers by 10		math	khan	5.0	5.0
khan.dividing-whole-numbers-by-10			Divide whole numbers by 10		math	khan	3.0	3.0
khan.number_line			Whole numbers on the number line		math	khan	1.0	6.0
assistments.48	khan.equivalent_fractions;khan.visualizing-equivalent-fractions;khan.equivalent-fractions-with-denominators-of-10-and-100;csp.B610834BFEB54606805DAD5279357B4B;S2726908;B610834BFEB54606805DAD5279357B4B		Equivalent Fractions		math;k-12;archived british columbia;british columbia	assistments	5.0	5.0
khan.understanding-whole-number-representations	lcsh.sh85102561	http://id.loc.gov/authorities/subjects/sh85102561	Whole number place value challenge		math	khan	4.0	4.0
khan.multiplying-and-dividing-by-10			Multiply and divide by 10		math	khan	3.0	3.0
khan.quotients-that-are-multiples-of-10			Quotients that are multiples of 10		math	khan	1.0	6.0
khan.place-value-blocks			Place value blocks		math	khan	1.0	6.0
khan.numbers-in-expanded-form			Write whole numbers in expanded form		math	khan	2.0	2.0
khan.creating-largest-or-smallest-number			Creating largest or smallest number		math	khan	0.0	0.0
khan.understanding-place-value-1			Place value when multiplying and dividing by 10		math	khan	1.0	6.0
khan.cancelling-zeros-in-division	lcsh.sh00006400	http://id.loc.gov/authorities/subjects/sh00006400	Cancel zeros when dividing		math	khan	1.0	6.0
khan.division_1.5	khan.multi-digit-division-with-visual-models		Divide by 1-digit numbers (no remainders)		math	khan	1.0	6.0
khan.equivalent_fractions_2			Equivalent fractions 2		math	khan	1.0	6.0
khan.different-wholes			Equivalent fractions and different wholes		math	khan	5.0	5.0
khan.visually-comparing-fractions			Visually compare fractions with unlike denominators		math	khan	1.0	6.0
khan.comparing-multi-digit-numbers			Compare multi-digit numbers		math	khan	1.0	6.0
khan.numbers-in-written-form	lcsh.sh85093232	http://id.loc.gov/authorities/subjects/sh85093232	Write numbers in written form		math	khan	2.0	2.0
khan.zeros-in-the-dividend-no-remainders			Zeros in the dividend (no remainders)		math	khan	7.0	9.0
khan.zeros-in-the-quotient-no-remainders			Zeros in the quotient (no remainders)		math	khan	7.0	9.0
khan.adding_fractions_with_common_denominators			Add fractions with common denominators		math	khan	1.0	6.0
khan.measuring_angles	lcsh.sh85055855	http://id.loc.gov/authorities/subjects/sh85055855	Measure angles		math	khan	8.0	10.0
khan.naming-angles	lcsh.sh85045551	http://id.loc.gov/authorities/subjects/sh85045551	Name angles		math	khan	1.0	9.0
khan.comparing-multi-digit-numbers-pv-challenge	lcsh.sh85102561	http://id.loc.gov/authorities/subjects/sh85102561	Compare numbers: place value challenge		math	khan	7.0	9.0
khan.multiplication-with-place-value-understanding	lcsh.sh85102561	http://id.loc.gov/authorities/subjects/sh85102561	Multiply using place value		math	khan	1.0	2.0
khan.multiplying-by-4-digit-numbers-with-visual-models			Multiply 2- 3- and 4-digits by 1-digit with area models		math	khan	4.0	4.0
khan.equivalent-fractions-with-denominators-of-10-and-100-intuition			Equivalent fractions with fraction models (denominators 10 & 100)		math	khan	4.0	4.0
khan.multiplying-fractions-and-whole-numbers-intuition			Multiply fractions and whole numbers intuition		math	khan	4.0	4.0
khan.area_of_squares_and_rectangles			Area of squares and rectangles		math	khan	1.0	6.0
khan.angles-in-circles	lcsh.sh85045551	http://id.loc.gov/authorities/subjects/sh85045551	Angles in circles		math	khan	4.0	4.0
khan.angle_types	lcsh.sh85005043	http://id.loc.gov/authorities/subjects/sh85005043	Angle types		math	khan	1.0	9.0
khan.drawing-angles	lcsh.sh85055855	http://id.loc.gov/authorities/subjects/sh85055855	Draw angles		math	khan	1.0	9.0
khan.axis_of_symmetry			Identify lines of symmetry		math	khan	7.0	9.0
khan.rounding_whole_numbers			Round whole numbers		math	khan	1.0	6.0
khan.multiplying-2-digit-numbers-with-area-models			Multiply 2-digit numbers with area models		math	khan	4.0	4.0
khan.division_2	khan.division-with-remainders-1		Divide with remainders		math	khan	1.0	6.0
khan.division-using-place-value-understanding	lcsh.sh85102561	http://id.loc.gov/authorities/subjects/sh85102561	Divide using place value		math	khan	1.0	2.0
khan.multiplying-unit-fractions-and-whole-numbers			Multiply unit fractions and whole numbers		math	khan	5.0	5.0
khan.area-and-perimeter-of-rectangles-word-problems	lcsh.sh85148106	http://id.loc.gov/authorities/subjects/sh85148106	Area & perimeter of rectangles word problems		math	khan	4.0	4.0
khan.benchmark-angles			Benchmark angles		math	khan	1.0	9.0
khan.drawing-lines-of-symmetry-and-symmetrical-figures			Draw lines of symmetry and symmetrical figures		math	khan	1.0	6.0
khan.rounding-whole-numbers-2			Round whole numbers challenge		math	khan	1.0	6.0
khan.multiplication_3			Multiply 2-digit numbers		math	khan	1.0	6.0
khan.decompose-fractions-with-denominators-of-100			Decompose fractions with denominators of 100		math	khan	1.0	6.0
khan.adding_fractions_0.5			Add fractions (denominators 10 & 100)		math	khan	4.0	4.0
khan.subtracting_fractions_with_common_denominators			Subtract fractions with common denominators		math	khan	1.0	6.0
khan.understanding-multiplying-fractions-and-whole-numbers			Equivalent unit fraction and whole number multiplication expressions		math	khan	7.0	9.0
khan.measuring-time-word-problems	dbpedia.Time_in_words_conversion_templates	http://dbpedia.org/resource/Category:Time_in_words_conversion_templates	Time conversion word problems		math	khan	1.0	6.0
khan.identifying-triangles-by-angles	lcsh.sh85055855	http://id.loc.gov/authorities/subjects/sh85055855	Identify triangles by angles		math	khan	7.0	9.0
khan.recognizing-triangles	dbpedia.Triangles_of_numbers	http://dbpedia.org/resource/Category:Triangles_of_numbers	Identify triangles by side lengths		math	khan	1.0	6.0
khan.drawing-right--acute--and-obtuse-angles			Draw right acute and obtuse angles		math	khan	4.0	4.0
khan.multi-step-word-problems-with-whole-numbers	lcsh.sh85148106	http://id.loc.gov/authorities/subjects/sh85148106	Multi-step word problems with whole numbers		math	khan	4.0	4.0
khan.comparing-with-multiplication			Compare with multiplication		math	khan	1.0	6.0
khan.arithmetic_word_problems	khan.multiplication-and-division-word-problems--within-100-;lcsh.sh85148106	http://id.loc.gov/authorities/subjects/sh85148106	Multiplication and division word problems		math	khan	1.0	6.0
khan.math-patterns			Math patterns 2		math	khan	0.0	12.0
khan.decimal-intuition-with-grids	opensalt.8bb86948-3082-11ec-bf0c-0242ac140003;opensalt.Khan_4.NF.C.6		Write decimal numbers shown in grids		math;content;content khan academy	khan	4.0	4.0
khan.decomposing-fractions			Decompose fractions		math	khan	4.0	4.0
khan.multiplying-fractions-and-whole-numbers-word-problems			Multiply fractions and whole numbers word problems		math	khan	5.0	5.0
khan.unit-sense	csp.E13FFF52D68540D59E2ECF6C308ECDF6;E13FFF52D68540D59E2ECF6C308ECDF6		Estimating time (seconds minutes and hours)		math;elementary french immersion: grades p 6;nova scotia	khan	4.0	4.0
